id	name_en	name_zh	aliases	primary_family	tasks	designs	domains	r_packages	r_functions	maturity	cautions	source_keys
hive-plot	hive plot	蜂巢网络图	deterministic network layout	network	network comparison	network	general	HiveR	plotHive	niche	axis assignment rules must be defined	R-CTVS
adjacency-matrix	adjacency matrix plot	邻接矩阵图	network matrix	network	dense networks	network	soil-biology	ComplexHeatmap; igraph	Heatmap	canonical	ordering and direction	R-COMPLEXHEATMAP
network-small-multiples	network small multiples	网络小倍图	temporal network panels	network	network change	temporal network	ecology	ggraph; patchwork	fixed layout panels	domain-standard	fix node positions/scale across panels	R-CTVS
dendrogram	dendrogram	树状聚类图	cluster tree	hierarchy	cluster hierarchy	multivariate	general; soil	stats; dendextend	hclust; plot	canonical	distance/linkage and leaf order	R-CTVS
phylogram	phylogram	系统发育树图	phylogenetic tree	hierarchy	evolutionary relationships	phylogenetic	soil-biology	ggtree; ape	ggtree	domain-standard	root, branch length and support	R-GGTREE
fan-tree	fan phylogenetic tree	扇形系统发育树	circular tree	hierarchy	many taxa hierarchy	phylogenetic	microbiome	ggtree	layout circular	domain-standard	labels/rings overcrowd; radial comparison	R-GGTREE
unrooted-tree	unrooted phylogenetic tree	无根系统发育树	unrooted tree	hierarchy	phylogenetic relationships	phylogenetic	microbiome	ggtree; ape	layout unrooted	domain-standard	does not imply ancestry direction	R-GGTREE
tree-heatmap	phylogenetic tree with heatmap	树—热图组合	gheatmap	hierarchy	taxa traits/abundance	phylogenetic	microbiome	ggtree; ggtreeExtra	gheatmap; geom_fruit	composite	tip order and sample alignment	R-GGTREE
tanglegram	tanglegram	纠缠树图	paired dendrograms	hierarchy	compare trees	two hierarchies	general; ecology	dendextend	tanglegram	domain-standard	leaf matching and entanglement metric	R-CTVS
cophylogeny-plot	cophylogeny plot	共系统发育图	host-parasite tree links	hierarchy	compare linked phylogenies	paired phylogenies	ecology	ape	cophyloplot	domain-standard	links and tree orientation	R-CTV-ENV
heat-tree	heat tree	热树图	taxonomic heat tree	hierarchy	taxonomic abundance/difference	taxonomic	microbiome; soil	metacoder	heat_tree	domain-standard	color/size metrics and multiple testing	P-METACODER
sample-location-map	sample location map	采样点位图	sampling map	spatial	sampling design; context	spatial	soil; environmental	sf; tmap	geom_sf; tm_symbols	domain-standard	CRS, support, accessibility and overlapping points	R-CTV-SPATIAL
choropleth-map	choropleth map	分区设色图	thematic polygon map	spatial	areal values	spatial areal	soil; environmental	sf; tmap	geom_sf; tm_polygons	canonical	rates vs counts, class breaks and area bias	R-CTV-SPATIAL
proportional-symbol-map	proportional symbol map	比例符号地图	bubble map	spatial	point/area magnitude	spatial	soil; environmental	sf; tmap	geom_sf size; tm_symbols	canonical	scale area not radius and overlap	R-CTV-SPATIAL
dot-density-map	dot density map	点密度地图	dot map	spatial	areal counts as dots	spatial areal	general	tmap; sf	custom dots	domain-standard	dots are allocated symbols not exact events unless observed	R-CTV-SPATIAL
raster-map	raster map	栅格地图	continuous grid map	spatial	continuous surface	spatial raster	soil; remote-sensing	terra; stars; tidyterra	plot; geom_stars; geom_spatraster	domain-standard	resolution, NoData, resampling and color limits	R-CTV-SPATIAL
categorical-raster-map	categorical raster map	分类栅格图	land-cover/class map	spatial	classes	spatial raster	soil; remote-sensing	terra; tmap	tm_raster col.scale categorical	domain-standard	nearest-neighbor resampling and class palette	R-CTV-SPATIAL
contour-map	contour map	等值线图	isoline map	spatial	continuous surface	spatial raster	soil; environmental	ggplot2; terra	geom_contour; contour	domain-standard	interpolation source, interval and labels	R-CTV-SPATIAL
filled-contour-map	filled contour map	填色等值线图	isopleth map	spatial	continuous surface	spatial raster	soil; environmental	ggplot2; terra	geom_contour_filled	domain-standard	discrete bands vs continuous values	R-CTV-SPATIAL
hillshade-map	hillshade map	地形晕渲图	shaded relief	spatial	terrain context	spatial raster	geoscience	terra; rayshader	shade; terrain	domain-standard	illumination is not measured value; avoid obscuring data	R-CTV-SPATIAL
terrain-map	terrain elevation map	地形高程图	DEM map	spatial	terrain/elevation	spatial raster	soil; geoscience	terra; tmap	tm_raster	domain-standard	vertical datum, projection and palette	R-CTV-SPATIAL
slope-aspect-map	slope/aspect map	坡度/坡向图	terrain derivatives	spatial	terrain controls	spatial raster	soil; hydrology	terra	terrain	domain-standard	aspect is cyclic; flat cells and units	R-CTV-SPATIAL
vector-field-map	vector field map	矢量场地图	quiver plot	spatial	direction and magnitude	spatial field	hydrology; atmosphere	ggplot2; metR	geom_vector; geom_arrow	domain-standard	projection, vector scaling and density	R-CTV-SPATIAL
flow-map	flow map	流向地图	movement map	spatial	origin-destination flow	spatial network	hydrology; general	ggraph; sf; stplanr	curved segments	domain-standard	direction, width scale and route meaning	R-CTV-SPATIAL
kernel-density-map	spatial kernel density map	空间核密度图	hotspot density	spatial	point intensity	point pattern	soil; ecology	spatstat; ggplot2	density.ppp; stat_density_2d	domain-standard	bandwidth, edge correction and effort	R-CTV-SPATIAL
hotspot-map	hotspot/LISA map	热点/LISA 图	local Moran map	spatial	local spatial association	areal/point	soil; environmental	spdep; sf	localmoran plus geom_sf	domain-standard	weights, multiplicity and significance	R-CTV-SPATIAL
cartogram	cartogram	变形地图	value-by-area map	spatial	areal magnitude	spatial areal	general	cartogram; tmap	cartogram_cont	niche	distorted geography and recognition	R-CTV-SPATIAL
hex-tile-map	hex tile map	六边形瓦片地图	hex cartogram	spatial	equal-area region comparison	spatial areal	general	geogrid; ggplot2	calculate_grid plus geom_polygon	niche	loses exact geography	R-CTV-SPATIAL
bivariate-map	bivariate choropleth	双变量分区图	bivariate map	spatial	two spatial variables	spatial	soil; environmental	biscale; tmap	bi_class; bi_scale_fill	domain-standard	2D legend, low class count and break sensitivity	R-CTV-SPATIAL
uncertainty-map	uncertainty map	不确定性地图	prediction SD/entropy map	spatial-prediction	prediction uncertainty	spatial model	soil; environmental	terra; tmap	map model uncertainty	domain-standard	name uncertainty type; not accuracy certificate	P-DSM-UNCERTAINTY-2024
prediction-map	prediction map	预测地图	modelled surface	spatial-prediction	spatial prediction	spatial model	soil; environmental	terra; tmap	predict then map	domain-standard	show observations, validation, uncertainty and extrapolation	R-CTV-SPATIAL
residual-map	spatial residual map	空间残差图	prediction error map	spatial-prediction	model diagnostics	spatial validation	soil; environmental	sf; terra	geom_sf; raster map	domain-standard	use held-out residuals where possible	R-CTV-SPATIAL
applicability-domain-map	area of applicability map	适用域地图	AOA; dissimilarity index map	spatial-prediction	extrapolation/applicability	spatial model	soil; environmental	CAST	aoa; plot	recent-domain-use	threshold and training feature space	R-CAST
spatial-cv-map	spatial cross-validation folds	空间交叉验证分区图	block CV map	spatial-prediction	validation design	spatial model	soil; environmental	blockCV; CAST; mlr3spatiotempcv	cv blocks	domain-standard	fold leakage, buffer and spatial scale	R-CAST
variogram	empirical variogram	经验变异函数图	semivariogram	spatial-prediction	spatial autocorrelation	spatial	soil; geostatistics	gstat	variogram; plot	domain-standard	lag, cutoff, pairs and estimator	R-GSTAT
fitted-variogram	fitted variogram	拟合变异函数图	variogram model	spatial-prediction	spatial model	spatial	soil; geostatistics	gstat	fit.variogram	domain-standard	nugget/sill/range and fit method	R-GSTAT
directional-variogram	directional variogram	方向变异函数图	anisotropic variogram	spatial-prediction	anisotropy	spatial	soil; geostatistics	gstat	variogram alpha	domain-standard	direction convention and tolerance	R-GSTAT
variogram-cloud	variogram cloud	变异函数云图	pairwise semivariance cloud	spatial-prediction	outliers/nonstationarity	spatial	soil; geostatistics	gstat	variogram cloud	niche	many pairs and distance units	R-GSTAT
cross-variogram	cross-variogram	交叉变异函数图	cross semivariogram	spatial-prediction	co-regionalization	multivariate spatial	soil; geostatistics	gstat	variogram multivariable	domain-standard	valid covariance model and signs	R-GSTAT
depth-slice-maps	depth-slice map small multiples	深度切片地图组	soil depth maps	spatial-profile	space-depth variation	spatial profile	soil	terra; stars; patchwork	aligned rasters	recent-domain-use	common color limits and depth support	P-SOIL-LANDSCAPE-2025
soil-cross-section	soil property cross-section	土壤属性剖面截面图	transect section	spatial-profile	space-depth variation	transect profile	soil	ggplot2; terra	geom_raster; geom_contour	domain-standard	distance/depth scale, interpolation and vertical exaggeration	P-SOIL-LANDSCAPE-2025
space-time-cube	space-time cube	时空立方体	3D spatiotemporal cube	spatial-temporal	space-time pattern	spatiotemporal	environmental; soil	stars; plotly; rgl	cube rendering	niche	occlusion and projection; provide slices	R-CTV-SPATIAL
hovmoller-diagram	Hovmöller diagram	霍夫默勒图	time-latitude/depth raster	spatial-temporal	space/depth over time	spatiotemporal	climate; soil-water	ggplot2; stars	geom_raster	domain-standard	axis direction, aggregation and missing	R-CTV-HYDRO
geofacet-map	geofaceted small multiples	地理分面图	geofacet	spatial	regional small multiples	spatial grouped	general	geofacet	facet_geo	niche	approximate layout; not a geographic map	R-CTV-SPATIAL
scatterpie-map	spatial scatterpie map	空间饼图符号地图	pie glyph map	spatial-composition	composition at locations	spatial compositional	soil; microbiome	scatterpie	geom_scatterpie	domain-standard	pie comparison, overlap and radius scaling	R-CTV-SPATIAL
scatterbar-map	spatial scatterbar map	空间条形符号地图	bar glyph map	spatial-composition	composition at locations	spatial compositional	soil; microbiome	scatterbar	scatterbar	recent-domain-use	new software; dense coordinates and glyph size	P-SCATTERBAR-2025
soil-profile-sketch	soil profile sketch	土壤剖面草图	pedon sketch	profile	horizon sequence and properties	profile	soil	aqp	plotSPC	domain-standard	horizon boundaries, truncation and depth direction	R-AQP-PLOT
grouped-soil-profiles	grouped soil profile plot	分组土壤剖面图	profile collection plot	profile	compare profile groups	profile grouped	soil	aqp	groupedProfilePlot	domain-standard	group ordering and uneven profile depth	R-AQP
soil-depth-profile	soil property depth profile	土壤属性深度曲线	vertical profile	profile	property by depth	profile; repeated	soil	ggplot2; aqp	geom_step; geom_line	domain-standard	depth downward, interval support and within-profile dependence	R-AQP
mass-preserving-spline-profile	mass-preserving spline profile	等质量保持样条深度图	MPS depth function	profile	continuous depth function	profile model	soil	mpspline2; ggplot2	mpspline then plot	domain-standard	spline assumptions and standard depth intervals	R-AQP
depth-property-heatmap	depth-property heatmap	深度—属性热图	profile heatmap	profile	many profiles/properties by depth	profile multivariate	soil	ComplexHeatmap; ggplot2	Heatmap; geom_tile	domain-standard	depth gaps, standardization and ordering	R-COMPLEXHEATMAP
soil-texture-triangle	soil texture triangle	土壤质地三角图	USDA/FAO texture plot	composition	texture classification	compositional	soil	soiltexture; ggsoiltexture; ggtern	TT.plot; ggtern	domain-standard	particle-size system and class version	R-SOILTEXTURE
soil-color-profile	soil color profile	土色剖面图	Munsell profile	profile	color by horizon	profile	soil	aqp; munsell	munsell2rgb plus plotSPC	domain-standard	moist/dry state and color conversion	R-AQP
catena-diagram	soil catena diagram	土壤链/坡面序列图	toposequence	profile	landscape-profile relationship	transect profiles	soil	ggplot2; aqp; patchwork	custom composite	domain-standard	horizontal positions, elevation and profile correspondence	R-AQP
stratigraphic-log	stratigraphic log	地层柱状图	lithologic column	profile	layer sequence through depth/age	stratigraphic	geology; soil	ggplot2; deeptime	custom geom_rect	domain-standard	age/depth direction, unconformities and symbols	R-CTVS
particle-size-cumulative	particle-size cumulative curve	粒径累计曲线	PSD cumulative	soil-physics	particle-size distribution	independent; repeated	soil	ggplot2	geom_line	canonical	log diameter and cumulative convention	R-CTVS
pore-size-distribution	pore-size distribution	孔径分布图	PSD pore	distribution	pore structure	independent	soil	ggplot2	density/cumulative	domain-standard	conversion model and resolution limit	R-CTVS
water-retention-curve	soil water retention curve	土壤水分特征曲线	pF curve; SWRC	soil-physics	water retention model	model-based	soil	soilwater; soilhypfit; ggplot2	model fit plus geom_line	domain-standard	pressure convention, log scale, measured vs fit	R-CTVS
hydraulic-conductivity-curve	hydraulic conductivity curve	导水率曲线	K-h; K-theta	soil-physics	hydraulic function	model-based	soil	soilwater; soilhypfit; ggplot2	fit plus line	domain-standard	units, log zeros and model range	R-CTVS
infiltration-curve	infiltration curve	入渗曲线	cumulative infiltration	soil-physics	infiltration over time	repeated time	soil; hydrology	HydroMe; ggplot2	fit plus points	domain-standard	separate cumulative and rate; model form	R-CTV-HYDRO
breakthrough-curve	breakthrough curve	穿透曲线	C/C0 curve	soil-physics	solute transport	time series	soil; hydrology	ggplot2	geom_line plus points	domain-standard	pore volume/time and censoring	R-CTV-HYDRO
penetration-resistance-profile	penetration resistance profile	贯入阻力深度图	penetrometer profile	profile	compaction by depth	profile repeated	soil	ggplot2	geom_line; ribbon	domain-standard	soil moisture, sensor limit and dependence	R-AQP
aggregate-size-composition	aggregate-size composition plot	团聚体粒级组成图	aggregate fractions	composition	aggregate stability	compositional	soil	ggplot2	stacked bar; ternary	domain-standard	closure, sieve classes and recovery	R-CTV-COMP
soil-moisture-depth-time	soil moisture depth-time heatmap	土壤水分深度—时间热图	profile Hovmoller	spatial-temporal	water dynamics	depth-time repeated	soil	ggplot2; stars	geom_raster	domain-standard	sensor depths, interpolation and missing	R-CTV-HYDRO
soil-gas-flux-series	soil gas flux time series	土壤气体通量时序图	GHG flux plot	temporal	flux dynamics	repeated	soil; biogeochemistry	ggplot2; ConFluxPro	geom_point; line; ribbon	domain-standard	negative flux, events and chamber replicates	R-CTV-ENV
cumulative-emissions	cumulative emissions curve	累积排放曲线	cumulative flux	temporal	integrated emissions	repeated	soil; biogeochemistry	ggplot2	geom_line; ribbon	domain-standard	integration, gaps and covariance	R-CTV-ENV
incubation-kinetics	incubation kinetic curve	培养动力学曲线	mineralization curve	relationship	process kinetics	repeated model	soil; biogeochemistry	SoilR; nls; ggplot2	fit plus points	domain-standard	cumulative vs rate and parameter uncertainty	R-CTVS
adsorption-isotherm	adsorption isotherm	吸附等温线	Langmuir/Freundlich plot	relationship	adsorption model	model-based	soil; chemistry	nls; minpack.lm; ggplot2	fit plus residuals	domain-standard	fit nonlinear model directly; concentration units	R-CTVS
dose-response-curve	dose-response curve	剂量—响应曲线	fertilizer response	relationship	response to dose	designed gradient	soil; agronomy	drc; nls; ggplot2	model fit	domain-standard	model range, optimum and extrapolation	R-CTV-AGRI
cate-nelson-plot	Cate-Nelson plot	Cate–Nelson 临界值图	quadrant calibration	relationship	soil test calibration	calibration	soil; agronomy	soiltestcorr; ggplot2	calibration plot	domain-standard	threshold uncertainty and validation	P-SOIL-R-2025
piper-diagram	Piper diagram	Piper 水化学图	trilinear diagram	composition	major-ion hydrochemistry	compositional	soil-water; geochemistry	hydrogeo	piper	domain-standard	use milliequivalent proportions and define projection	R-CTVS
schoeller-diagram	Schoeller diagram	Schoeller 图	semilog ion profile	composition	compare major ions	compositional	geochemistry; hydrology	hydrogeo; ggplot2	schoeller; geom_line	domain-standard	ion order, equivalent units and log scale	R-CTVS
stiff-diagram	Stiff diagram	Stiff 图	water chemistry polygon	composition	water chemistry signature	compositional	geochemistry	hydrogeo	stiff	domain-standard	meq/L axes and spatial glyph overlap	R-CTVS
durov-diagram	Durov diagram	Durov 图	extended hydrochemical diagram	composition	water chemistry facies	compositional	geochemistry	hydrogeo	durov	domain-standard	facies definitions and equivalent units	R-CTVS
gibbs-diagram	Gibbs diagram	Gibbs 图	water chemistry mechanism plot	relationship	hydrogeochemical controls	independent	geochemistry	ggplot2	geom_point plus regions	domain-standard	mechanistic regions are heuristic	R-CTVS
rank-abundance	rank-abundance curve	等级—丰度曲线	Whittaker plot	ecology	community dominance/evenness	community	ecology; soil-biology	vegan; BiodiversityR	rankabundance	domain-standard	taxonomic resolution and sampling effort	R-VEGAN
species-abundance-distribution	species abundance distribution	物种丰度分布图	SAD	ecology	community abundance distribution	community	ecology	vegan; sads	hist/density/model	domain-standard	binning and model comparison	R-CTV-ENV
species-accumulation	species accumulation curve	物种累积曲线	collector curve	ecology	richness vs effort	community sampling	ecology; soil-biology	vegan	specaccum	domain-standard	randomization and effort unit	R-VEGAN
rarefaction-curve	rarefaction curve	稀释曲线	sample-size rarefaction	ecology	richness vs sampling	community sampling	microbiome; ecology	vegan; iNEXT	rarecurve; ggiNEXT	domain-standard	interpolation vs extrapolation and endpoint	R-VEGAN
coverage-rarefaction	coverage-based rarefaction	覆盖度稀释/外推图	sample coverage curve	ecology	diversity vs completeness	community sampling	microbiome; ecology	iNEXT	ggiNEXT	domain-standard	coverage axis differs from sample size	R-CTV-ENV
alpha-diversity-plot	alpha diversity raw-data plot	α 多样性图	within-sample diversity	ecology	within-sample diversity	independent; nested	microbiome; soil	phyloseq; vegan; ggplot2	estimate_richness plus points	domain-standard	sequencing depth, metric and experiment unit	R-PHYLOSEQ
beta-dispersion-plot	beta dispersion plot	β 离散度图	distance to centroid	ecology	multivariate dispersion	multivariate	microbiome; ecology	vegan	betadisper; boxplot	domain-standard	group dispersion affects PERMANOVA interpretation	R-VEGAN
permanova-effect-plot	PERMANOVA effect summary	PERMANOVA 效应汇总图	R2 interval plot	effect-uncertainty	multivariate group effects	multivariate	microbiome; ecology	vegan; ggplot2	adonis2 results plus interval	niche	permutation design and dispersion; P alone insufficient	R-VEGAN
envfit-ordination	ordination with environmental vectors	环境向量排序图	envfit biplot	multivariate	environment-community associations	multivariate	ecology; soil	vegan	envfit; plot	domain-standard	arrow scaling, multiplicity and non-causal association	R-VEGAN
fourth-corner-heatmap	fourth-corner heatmap	第四角热图	trait-environment association matrix	matrix	trait-environment association	multitable	ecology	ade4; mvabund; ComplexHeatmap	fourthcorner plus Heatmap	domain-standard	permutation scheme and multiplicity	R-CTV-ENV
co-inertia-plot	co-inertia plot	协惯量分析图	co-structure ordination	multivariate	coupled tables	multitable	ecology; soil	ade4	coinertia; plot	domain-standard	scaling and table weights	R-CTV-ENV
procrustes-plot	Procrustes plot	Procrustes 配置比较图	ordination comparison	multivariate	compare ordinations	paired multivariate	ecology; microbiome	vegan	procrustes; protest	domain-standard	arrows show mismatch; rotation arbitrary	R-VEGAN
microbiome-composition	microbiome composition plot	微生物组组成图	relative abundance bars	composition	taxonomic composition	compositional	microbiome; soil	phyloseq; microViz	plot_bar; comp_barplot	domain-standard	relative not absolute; filtering/order rules	R-MICROVIZ
prevalence-abundance	prevalence-abundance plot	出现率—丰度图	occupancy-abundance scatter	relationship	feature filtering/core taxa	multivariate	microbiome; ecology	phyloseq; ggplot2	custom scatter	domain-standard	prevalence threshold and zero definition	R-PHYLOSEQ
taxonomic-tree-bar	taxonomic tree with abundance bars	分类树—丰度条组合图	phylogeny abundance panel	hierarchy	taxonomy plus abundance	taxonomic	microbiome	ggtree; ggtreeExtra	geom_fruit	composite	tip/sample alignment and scale	R-GGTREE
differential-abundance-effect	differential abundance effect plot	差异丰度效应图	log fold-change interval	effect-uncertainty	feature effects	multivariate model	microbiome; omics	ggplot2; model package	geom_pointrange	domain-standard	compositional method, multiplicity and shrinkage	R-BIOC
ma-plot	MA plot	MA 图	mean-difference plot	omics	abundance-dependent effects	multivariate model	omics; microbiome	DESeq2; limma	plotMA	domain-standard	adjusted significance and count scale	R-BIOC
volcano-plot	volcano plot	火山图	effect vs significance	omics	feature screening	multivariate model	omics; microbiome	EnhancedVolcano; ggplot2	geom_point	domain-standard	P-axis dominates; thresholds/multiplicity; label bias	R-BIOC
manhattan-plot	Manhattan plot	曼哈顿图	genome-wide association plot	omics	genome-wide signals	genomic	genetics; soil organisms	qqman; CMplot	manhattan	domain-standard	chromosome order, threshold and inflation	P-GENOMIC-TAXONOMY
miami-plot	Miami plot	迈阿密图	back-to-back Manhattan	omics	compare two GWAS	genomic	genetics	CMplot; custom ggplot	custom	domain-standard	shared scale and direction	P-GENOMIC-TAXONOMY
regional-association	regional association plot	区域关联图	LocusZoom plot	omics	locus context	genomic	genetics	locuszoomr	locuszoom	domain-standard	LD reference population and genomic build	P-GENOMIC-TAXONOMY
karyogram	karyogram	核型图	ideogram	omics	chromosome-level locations	genomic	genetics	karyoploteR; ggbio	plotKaryotype	domain-standard	genome build and chromosome scale	P-GENOMIC-TAXONOMY
circos-plot	Circos plot	Circos 环形基因组图	circular genome plot	omics	genome links/multitracks	genomic	omics	circlize	circos.*	domain-standard	radial comparison and overcrowding; genome build	P-GENOMIC-TAXONOMY
genome-track	genome track plot	基因组轨道图	browser track	omics	features along genome	genomic	omics	Gviz; ggbio	plotTracks	domain-standard	coordinate build, strand and track scales	P-GENOMIC-TAXONOMY
sashimi-plot	Sashimi plot	Sashimi 剪接图	splice junction arc plot	omics	alternative splicing	genomic	omics	Gviz; rmats2sashimiplot	custom	domain-standard	read normalization and junction counts	P-GENOMIC-TAXONOMY
sequence-logo	sequence logo	序列标识图	motif logo	omics	position-wise sequence pattern	aligned sequences	omics	ggseqlogo	ggseqlogo	domain-standard	information vs probability scale and background	P-GGSEQLOGO
mutation-lollipop	mutation lollipop plot	突变棒棒糖图	protein mutation plot	omics	mutation positions	genomic/protein	omics	maftools; g3viz	lollipopPlot	domain-standard	protein isoform and count/impact encoding	P-GENOMIC-TAXONOMY
copy-number-segment	copy-number segment plot	拷贝数分段图	CNV profile	omics	copy-number along genome	genomic	omics	DNAcopy; ggbio	segments plot	domain-standard	baseline, ploidy and segmentation method	P-GENOMIC-TAXONOMY
fishplot	fish plot	鱼图	clonal evolution plot	flow	clonal composition over time	temporal composition	omics	fishplot	fishPlot	domain-standard	clonal nesting and uncertainty	R-BIOC
muller-plot	Muller plot	Muller 演化图	population lineage area plot	flow	lineage frequency over time	temporal composition	evolution; microbiome	ggmuller	Muller plot	domain-standard	parent-child topology and closure	R-CTVS
enrichment-dotplot	enrichment dot plot	富集点图	pathway bubble plot	matrix	gene-set enrichment summary	multivariate	omics; microbiome	clusterProfiler; enrichplot	dotplot	domain-standard	gene ratio, universe, multiplicity and redundancy	R-BIOC
enrichment-map	enrichment map	富集网络图	gene-set similarity network	network	related enriched sets	network	omics	clusterProfiler; enrichplot	emapplot	domain-standard	similarity threshold and redundant terms	R-BIOC
cnetplot	category-gene network	类别—基因网络图	cnetplot	network	genes linked to enriched sets	bipartite	omics	enrichplot	cnetplot	domain-standard	network size and gene-set selection	R-BIOC
gsea-running-score	GSEA running-score plot	GSEA 运行富集得分图	enrichment curve	omics	ranked gene-set enrichment	ordered features	omics	enrichplot	gseaplot2	domain-standard	ranking metric, ES/NES and multiple testing	R-BIOC
hydrograph	hydrograph	流量过程线	streamflow time series	hydrology	flow over time	time series	hydrology; soil	ggplot2; hydroTSM	geom_line	domain-standard	time zone, gaps and log/linear flow	R-CTV-HYDRO
hyetograph	hyetograph	降雨过程图	precipitation bars	hydrology	precipitation intensity/time	time series	hydrology	ggplot2	geom_col	domain-standard	interval totals/intensity and alignment	R-CTV-HYDRO
hydrograph-hyetograph	aligned hydrograph and hyetograph	雨量—流量对齐面板	rainfall-runoff panels	hydrology	event response	time series	hydrology; soil	ggplot2; patchwork	aligned panels	composite	avoid unexplained dual axes; align time	R-CTV-HYDRO
flow-duration-curve	flow duration curve	流量历时曲线	exceedance curve	hydrology	flow exceedance	time series	hydrology	lfstat; ggplot2	fdc	domain-standard	record period, ties and log axis	R-CTV-HYDRO
rating-curve	rating curve	水位—流量关系曲线	stage-discharge curve	relationship	calibration/model	repeated model	hydrology	nls; ratingcurve; ggplot2	fit plus interval	domain-standard	hysteresis, extrapolation and uncertainty	R-CTV-HYDRO
double-mass-curve	double mass curve	双累积曲线	double-mass analysis	hydrology	consistency/change	cumulative time	hydrology; climate	ggplot2	geom_path	domain-standard	break interpretation and reference series	R-CTV-HYDRO
hysteresis-loop	hysteresis loop	迟滞环图	concentration-discharge loop	relationship	event path dependence	temporal paired	hydrology; soil	ggplot2	geom_path plus arrows	domain-standard	direction/time encoding and event segmentation	R-CTV-HYDRO
wind-rose	wind rose	风向玫瑰图	polar frequency plot	polar	directional frequency	cyclic	atmosphere; environmental	openair	windRose	domain-standard	calm winds, north convention and area	R-CTV-ENV
pollution-rose	pollution rose	污染玫瑰图	conditional polar plot	polar	concentration by direction/speed	cyclic	atmosphere; soil-dust	openair	pollutionRose	domain-standard	meteorology/confounding and binning	R-CTV-ENV
polar-annulus	polar annulus plot	极坐标环带图	polar time plot	polar	cyclic temporal patterns	cyclic time	atmosphere; climate	openair	polarAnnulus	niche	polar axes and aggregation	R-CTV-ENV
taylor-diagram	Taylor diagram	泰勒图	model skill diagram	model-diagnostic	model comparison	validation	climate; environmental	openair; plotrix	TaylorDiagram	domain-standard	correlation, SD and centered RMSE definitions	R-CTV-ENV
target-diagram	target diagram	目标图	bias-RMSD plot	model-diagnostic	model error comparison	validation	climate; environmental	metRology; ggplot2	custom	domain-standard	normalization and sign conventions	R-CTV-ENV
walter-lieth	Walter-Lieth climate diagram	Walter–Lieth 气候图	ombrothermic diagram	temporal	climate seasonality	monthly	climate; ecology	climatol; climatolplus	climatol plot	domain-standard	precipitation-temperature scaling convention	R-CTV-ENV
spectral-signature	spectral signature plot	光谱曲线图	reflectance spectrum	remote-sensing	reflectance by wavelength	spectral	soil; remote-sensing	hyperSpec; ggplot2	plot; geom_line	domain-standard	DN vs reflectance, wavelength and preprocessing	R-CTV-SPATIAL
derivative-spectrum	derivative spectrum	导数光谱图	first/second derivative spectrum	remote-sensing	spectral features	spectral	soil; chemometrics	prospectr; ggplot2	gapDer plus plot	domain-standard	smoothing/gap/window and noise amplification	R-CTV-CHEMPHYS
hyperspectral-cube	hyperspectral data cube	高光谱数据立方体	spectral cube	image-volume	space-wavelength data	spatial spectral	soil; remote-sensing	stars; terra; hyperSpec	cube/slices	domain-standard	band registration, bad bands and occlusion	R-CTV-SPATIAL
spectral-coefficient-plot	spectral coefficient plot	光谱系数图	wavelength loading/importance	model-diagnostic	model interpretation	model-based spectral	soil; remote-sensing	pls; ggplot2	coef/loading line	domain-standard	collinearity and validation stability	R-CTV-CHEMPHYS
observed-predicted	observed versus predicted plot	观测—预测图	parity plot	model-diagnostic	regression validation	validation	general; soil	ggplot2; yardstick	geom_point plus 1:1	canonical	held-out predictions, equal aspect and metrics	R-CTVS
residual-fitted	residuals versus fitted	残差—拟合值图	residual plot	model-diagnostic	model assumptions	model-based	general; soil	ggplot2; performance	check_model	domain-standard	model-family appropriate residuals	R-CTVS
scale-location	scale-location plot	尺度—位置图	spread-location	model-diagnostic	heteroscedasticity	model-based	general	stats; performance	plot.lm	domain-standard	transformation and smoother	R-CTVS
leverage-plot	residual leverage plot	残差—杠杆值图	influence plot	model-diagnostic	influential observations	model-based	general	stats; car	plot.lm; influencePlot	domain-standard	Cook contours and IDs without selective deletion	R-CTVS
cooks-distance	Cook's distance plot	Cook 距离图	influence stem	model-diagnostic	influence	model-based	general	stats	cooks.distance plot	domain-standard	threshold heuristic not automatic exclusion	R-CTVS
roc-curve	ROC curve	ROC 曲线	receiver operating characteristic	model-diagnostic	binary classification	validation	general; soil	pROC; yardstick	roc_curve	domain-standard	class imbalance and confidence; threshold choice	R-CTVS
precision-recall	precision-recall curve	精确率—召回率曲线	PR curve	model-diagnostic	imbalanced classification	validation	general; soil	yardstick; precrec	pr_curve	domain-standard	prevalence and baseline precision	R-CTVS
calibration-plot	calibration plot	校准图	reliability diagram	model-diagnostic	probability calibration	validation	general; soil	yardstick; probably	calibration	domain-standard	binning/smoother and test predictions	R-CTVS
decision-curve	decision curve analysis	决策曲线图	net benefit curve	model-diagnostic	decision utility	validation	general	rmda; dcurves	plot_decision_curve	domain-standard	threshold range and clinical/domain utility	R-CTVS
lift-gain	lift/gain chart	提升/增益图	cumulative gains	model-diagnostic	ranking performance	validation	general	yardstick; gains	custom	domain-standard	prevalence and sorting direction	R-CTVS
pdp-plot	partial dependence plot	部分依赖图	PDP	model-interpretation	average feature effect	model-based	soil; machine-learning	pdp; iml; DALEX	partial; plot	domain-standard	correlated features and extrapolation	R-CTVS
