journal_name,group_name,soil_relevance,publisher,language_or_region,soil_topic_scope,official_author_url,official_source_status,source_accessed_at,cscd_2025_2026,scopus_2026_07,scopus_coverage,scopus_source_id,evidence_grade,caution,evidence_sources,evidence_accessed_at
Applied Clay Science,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1985-2026,24614,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Applied Soil Ecology,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/applied-soil-ecology/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1994-2026,96119,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Archives of Agronomy and Soil Science,国际土壤学专业期刊,直接土壤,Taylor & Francis,International / English,直接土壤学/土壤过程,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gags20,已定位官方投稿入口,2026-08-15,,Active,1994-2026; 1962-1970,200147102,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Arid Land Research and Management,国际土壤学交叉期刊,土壤及邻近,Taylor & Francis,International / English,Scopus 土壤学分类中的交叉期刊,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uasr20,已定位官方投稿入口,2026-08-15,,Active,2001-2026,93599,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Biochar,国际土壤学交叉期刊,土壤及邻近,Springer Nature,International / English,Scopus 土壤学分类中的交叉期刊,https://link.springer.com/journal/42773/submission-guidelines,已定位官方投稿入口,2026-08-15,C,Active,2019-2026,21101049099,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Biogeochemistry,国际综合与跨学科期刊,综合交叉,Springer Nature,国际/英文,土壤碳氮磷硫循环与生态系统过程,https://link.springer.com/journal/10533/submission-guidelines,official entry recorded,2026-08-15,,Active,1984-2026,16894,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Biogeosciences,国际综合与跨学科期刊,综合交叉,Copernicus Publications,国际/英文,土壤碳、温室气体、关键带与地球系统过程,https://www.biogeosciences.net/submission.html,official entry recorded,2026-08-15,,Active,2004-2026,130037,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Biology and Fertility of Soils,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,直接土壤学/土壤过程,https://link.springer.com/journal/374/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,1985-2026,40981,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Bioresource Technology,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,堆肥、生物炭、废弃物资源化与土壤利用,https://www.sciencedirect.com/journal/bioresource-technology/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1991-2026,15423,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Biosystems Engineering,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2002-2026,61490,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Canadian Journal of Soil Science,国际土壤学专业期刊,直接土壤,Canadian Science Publishing,International / English,直接土壤学/土壤过程,https://cdnsciencepub.com/journal/cjss,已定位官方投稿入口,2026-08-15,,Active,1974-2026,37316,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Catena,国际土壤学专业期刊,直接土壤,Elsevier,International / English,Soil Science category,https://www.sciencedirect.com/journal/catena/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1975-2026; 1973,25155,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Chinese Journal of Eco-Agriculture,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2018-2026,21100900506,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Clays and Clay Minerals,国际土壤学专业期刊,直接土壤,Cambridge University Press,International / English,直接土壤学/土壤过程,https://www.cambridge.org/core/journals/clays-and-clay-minerals/information/author-instructions,已定位官方投稿入口,2026-08-15,,Active,1968-2026,19594,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Communications Earth & Environment,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,土壤形成、土地退化、碳循环、地球表层过程,https://www.nature.com/commsenv/for-authors,official entry recorded,2026-08-15,,Active,2020-2026,21101065239,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Communications in Soil Science and Plant Analysis,国际土壤学专业期刊,直接土壤,Taylor & Francis,International / English,直接土壤学/土壤过程,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=lcss20,已定位官方投稿入口,2026-08-15,,Active,1970-2026,31671,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Compost Science & Utilization,国际土壤学专业期刊,直接土壤,Taylor & Francis,International / English,Soil Science category,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ucsx20,已定位官方投稿入口,2026-08-15,,Active,1993-2026,32999,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Computers and Electronics in Agriculture,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤传感器、近地遥感、精准农业和预测模型,https://www.sciencedirect.com/journal/computers-and-electronics-in-agriculture/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1985-2026,30441,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Earth System Science Data,国际综合与跨学科期刊,综合交叉,Copernicus Publications,国际/英文,全球/区域土壤数据库、基准数据集和数据产品,https://www.earth-system-science-data.net/submission.html,official entry recorded,2026-08-15,,Active,2009-2026,21100284918,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Earth's Future,国际综合与跨学科期刊,综合交叉,AGU / Wiley,国际/英文,土壤与气候风险、土地系统、情景和可持续治理,https://www.agu.org/Publish-with-AGU/Publish/Author-Resources,official entry recorded,2026-08-15,,Active,2014-2026,21100403190,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Ecological Applications,国际综合与跨学科期刊,综合交叉,Ecological Society of America / Wiley,国际/英文,土壤管理、生态恢复、土地利用与生态系统服务,https://esajournals.onlinelibrary.wiley.com/hub/journal/19395582/resources/author-guidelines,official entry recorded,2026-08-15,,Active,1991-2026,20287,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Ecological Indicators,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤质量、土壤健康和生态评价指标,https://www.sciencedirect.com/journal/ecological-indicators/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,2001-2026,20292,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Ecological Informatics,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,数字土壤制图、机器学习、土壤生态数据分析,https://www.sciencedirect.com/journal/ecological-informatics/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,2006-2026,3100147401,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Ecosystems,国际综合与跨学科期刊,综合交叉,Springer Nature,国际/英文,土壤—植物—微生物耦合、生态系统物质循环,https://link.springer.com/journal/10021/submission-guidelines,official entry recorded,2026-08-15,,Active,1998-2026,20343,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Ecotoxicology and Environmental Safety,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤污染物生态毒性和风险机制,https://www.sciencedirect.com/journal/ecotoxicology-and-environmental-safety/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1977-2026,25076,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Egyptian Journal Of Soil Science,国际土壤学专业期刊,直接土壤,Egyptian Knowledge Bank,International / English,Soil Science category,https://ejss.journals.ekb.eg/journal/authors.note,已定位官方投稿入口,2026-08-15,,Active,2013-2026,21101149360,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environment International,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤污染暴露、健康风险和全球环境问题,https://www.sciencedirect.com/journal/environment-international/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1976-2026,20912,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Chemistry Letters,国际综合与跨学科期刊,综合交叉,Springer Nature,国际/英文,土壤污染化学、修复材料和前沿综述,https://link.springer.com/journal/10311/submission-guidelines,official entry recorded,2026-08-15,,Active,2003-2026,144946,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Earth Sciences,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2009-2026,19400158519,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Geochemistry and Health,国际综合与跨学科期刊,综合交叉,Springer Nature,国际/英文,土壤元素地球化学、暴露与健康风险,https://link.springer.com/journal/10653/submission-guidelines,official entry recorded,2026-08-15,,Active,1983-2026,20992,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Microbiology,国际综合与跨学科期刊,综合交叉,Wiley,国际/英文,土壤微生物生态、功能和环境过程,https://onlinelibrary.wiley.com/page/journal/14622920/homepage/forauthors.html,official entry recorded,2026-08-15,,Active,1999-2026; 1992,19683,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Pollution,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤污染效应、生态风险和修复,https://www.sciencedirect.com/journal/environmental-pollution/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1987-2026; 1980; 1973,23916,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Research,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤污染、暴露、生态与健康交叉,https://www.sciencedirect.com/journal/environmental-research/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1997-2026; 1967-1995,21524,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Research Letters,国际综合与跨学科期刊,综合交叉,IOP Publishing,国际/英文,土壤碳、土地利用、全球变化与政策相关研究,https://publishingsupport.iopscience.iop.org/journals/environmental-research-letters/about-environmental-research-letters/,official entry recorded,2026-08-15,,Active,2006-2026,5200152632,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Science & Ecotechnology,国际综合与跨学科期刊,综合交叉,Elsevier / Chinese Society for Environmental Sciences,国际/英文,土壤污染、修复、环境健康与新技术,https://www.sciencedirect.com/journal/environmental-science-and-ecotechnology/publish/guide-for-authors,official entry recorded,2026-08-15,C,Active,2020-2026,21101042161,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Science & Technology,国际综合与跨学科期刊,综合交叉,American Chemical Society,国际/英文,土壤污染化学、界面过程、修复机制和环境风险,https://publish.acs.org/publish/author_guidelines?coden=esthag,official entry recorded,2026-08-15,,Active,1967-2026,21537,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Science & Technology Letters,国际综合与跨学科期刊,综合交叉,American Chemical Society,国际/英文,重要而简洁的土壤污染与环境化学发现,https://publish.acs.org/publish/author_guidelines?coden=estlcu,official entry recorded,2026-08-15,,Active,2013-2026,21100403504,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Environmental Technology and Innovation,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2014-2026,21100385961,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
ES Food and Agroforestry,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2020-2026,21101142757,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Eurasian Soil Science,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,直接土壤学/土壤过程,https://link.springer.com/journal/11475/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,1992-2026,38533,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
European Journal of Agronomy,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1993-2026,59988,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
European Journal of Soil Biology,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/european-journal-of-soil-biology/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1993-2026,14648,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
European Journal of Soil Science,国际土壤学专业期刊,直接土壤,Wiley,International / English,直接土壤学/土壤过程,https://onlinelibrary.wiley.com/page/journal/13652389/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,,Active,1994-2026,36209,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Farming System,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2023-2026,21101199904,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Field Crops Research,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1978-2026,78796,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Forest Ecology and Management,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,森林土壤、凋落物、经营和恢复,https://www.sciencedirect.com/journal/forest-ecology-and-management/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1982-2026; 1979-1980; 1976,25720,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Frontiers in Agronomy,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2019-2026,21101077279,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Frontiers in Soil Science,国际土壤学专业期刊,直接土壤,Frontiers,International / English,直接土壤学/土壤过程,https://www.frontiersin.org/journals/soil-science/for-authors/author-guidelines,已定位官方投稿入口,2026-08-15,,Active,2021-2026,21101171878,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Functional Ecology,国际综合与跨学科期刊,综合交叉,British Ecological Society / Wiley,国际/英文,根际、土壤生物、植物—土壤反馈和功能性状,https://besjournals.onlinelibrary.wiley.com/hub/journal/13652435/author-guidelines,official entry recorded,2026-08-15,,Active,1987-2026,18002,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Geoderma,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/geoderma/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1967-2026,39112,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Geoderma Regional,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/geoderma-regional/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,2014-2026,21100373623,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Geotechnical and Geological Engineering,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1991-2026,19690,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Global Biogeochemical Cycles,国际综合与跨学科期刊,综合交叉,AGU / Wiley,国际/英文,土壤碳氮磷循环、陆地—大气交换、全球模型,https://www.agu.org/Publish-with-AGU/Publish/Author-Resources,official entry recorded,2026-08-15,,Active,1987-2026,21848,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Global Change Biology,国际综合与跨学科期刊,综合交叉,Wiley,国际/英文,土壤碳氮、温室气体、全球变化实验与综合分析,https://onlinelibrary.wiley.com/page/journal/13652486/homepage/forauthors.html,official entry recorded,2026-08-15,,Active,1995-2026; 1973; 1959,15131,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Global Ecology and Biogeography,国际综合与跨学科期刊,综合交叉,Wiley,国际/英文,全球土壤生物多样性、空间格局和综合分析,https://onlinelibrary.wiley.com/page/journal/14668238/homepage/forauthors.html,official entry recorded,2026-08-15,,Active,1998-2026,22044,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Hydrology and Earth System Sciences,国际综合与跨学科期刊,综合交叉,Copernicus Publications,国际/英文,土壤水文、陆面过程、模型和尺度扩展,https://www.hydrology-and-earth-system-sciences.net/submission.html,official entry recorded,2026-08-15,,Active,1997-2026,29472,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
IEEE Transactions on Geoscience and Remote Sensing,国际综合与跨学科期刊,综合交叉,IEEE,国际/英文,土壤水分、盐分、粗糙度和遥感算法,https://journals.ieeeauthorcenter.ieee.org/your-role-in-article-production/ieee-editorial-style-manual/,official entry recorded,2026-08-15,,Active,1980-2026,17360,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Agrophysics,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1992-2026; 1989,31877,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Journal of Applied Earth Observation and Geoinformation,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤属性制图、土壤水分和农业地球观测,https://www.sciencedirect.com/journal/international-journal-of-applied-earth-observation-and-geoinformation/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1998-2026,39563,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Journal of Environmental Analytical Chemistry,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1971-2026,24012,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Journal of Geomechanics,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2001-2026,27546,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Journal of Geotechnical Engineering,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2007-2026,21100371227,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
International Soil and Water Conservation Research,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/international-soil-and-water-conservation-research/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,C,Active,2013-2026,21100817619,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Irrigation and Drainage,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2001-2026,130102,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Irrigation Science,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1978-2026,35683,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
ISPRS Journal of Photogrammetry and Remote Sensing,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,数字土壤制图、土壤属性反演和高水平方法创新,https://www.sciencedirect.com/journal/isprs-journal-of-photogrammetry-and-remote-sensing/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1989-2026,29161,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Applied Ecology,国际综合与跨学科期刊,综合交叉,British Ecological Society / Wiley,国际/英文,土壤生态管理、恢复和政策相关研究,https://besjournals.onlinelibrary.wiley.com/hub/journal/13652664/author-guidelines,official entry recorded,2026-08-15,,Active,1973-2026; 1968,29547,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Cleaner Production,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,肥料、土壤修复材料、农业循环和生命周期评价,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1993-2026,19167,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Contaminant Hydrology,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤—地下水污染物迁移和反应过程,https://www.sciencedirect.com/journal/journal-of-contaminant-hydrology/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1986-2026,23997,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Crop Improvement,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2004-2026,73453,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Environmental Chemical Engineering,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤修复材料、吸附催化和污染控制,https://www.sciencedirect.com/journal/journal-of-environmental-chemical-engineering/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,2013-2026,21100255493,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Environmental Management,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,污染土壤治理、土地管理和环境评价,https://www.sciencedirect.com/journal/journal-of-environmental-management/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1977-2026; 1975; 1973,23371,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Environmental Quality,国际综合与跨学科期刊,综合交叉,ACSESS / Wiley,国际/英文,土壤—水环境、养分损失、污染和管理,https://acsess.onlinelibrary.wiley.com/hub/journal/15372537/author-guidelines,official entry recorded,2026-08-15,,Active,1972-2026,23375,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Geophysical Research: Biogeosciences,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2012-2026; 2010,21101038507,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Hazardous Materials,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,重金属、有机污染物、微塑料和土壤修复机制,https://www.sciencedirect.com/journal/journal-of-hazardous-materials/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1979-2026; 1977; 1975,25858,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Hydrology,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤水分、渗流、坡面水文和土壤—地下水过程,https://www.sciencedirect.com/journal/journal-of-hydrology/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1963-2026; 1949,50089,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Plant Nutrition and Soil Science,国际土壤学专业期刊,直接土壤,Wiley,International / English,直接土壤学/土壤过程,https://onlinelibrary.wiley.com/page/journal/15222624/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,,Active,1996-2026,15656,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal of Soil and Water Conservation,国际土壤学专业期刊,直接土壤,Soil and Water Conservation Society,International / English,直接土壤学/土壤过程,https://www.jswconline.org/content/instructions-authors,已定位官方投稿入口,2026-08-15,,Active,1973-2026,31617,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
