id	name_en	name_zh	primary_family	schema_id	renderer	coverage_tier	required_packages	source_keys
depth-property-heatmap	depth-property heatmap	深度—属性热图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
soil-texture-triangle	soil texture triangle	土壤质地三角图	composition	ternary	ternary	named-variant-validated	ggplot2;jsonlite;ragg	R-SOILTEXTURE
soil-color-profile	soil color profile	土色剖面图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
catena-diagram	soil catena diagram	土壤链/坡面序列图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
stratigraphic-log	stratigraphic log	地层柱状图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
particle-size-cumulative	particle-size cumulative curve	粒径累计曲线	soil-physics	xy	soil-physics	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
pore-size-distribution	pore-size distribution	孔径分布图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
water-retention-curve	soil water retention curve	土壤水分特征曲线	soil-physics	xy	soil-physics	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
hydraulic-conductivity-curve	hydraulic conductivity curve	导水率曲线	soil-physics	xy	soil-physics	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
infiltration-curve	infiltration curve	入渗曲线	soil-physics	xy	soil-physics	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
breakthrough-curve	breakthrough curve	穿透曲线	soil-physics	xy	soil-physics	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
penetration-resistance-profile	penetration resistance profile	贯入阻力深度图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
aggregate-size-composition	aggregate-size composition plot	团聚体粒级组成图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-COMP
soil-moisture-depth-time	soil moisture depth-time heatmap	土壤水分深度—时间热图	spatial-temporal	spatial-grid	spatial-temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
soil-gas-flux-series	soil gas flux time series	土壤气体通量时序图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
cumulative-emissions	cumulative emissions curve	累积排放曲线	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
incubation-kinetics	incubation kinetic curve	培养动力学曲线	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
adsorption-isotherm	adsorption isotherm	吸附等温线	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
dose-response-curve	dose-response curve	剂量—响应曲线	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-AGRI
cate-nelson-plot	Cate-Nelson plot	Cate–Nelson 临界值图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	P-SOIL-R-2025
piper-diagram	Piper diagram	Piper 水化学图	composition	hydrochemistry	hydrochemistry	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
schoeller-diagram	Schoeller diagram	Schoeller 图	composition	hydrochemistry	hydrochemistry	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
stiff-diagram	Stiff diagram	Stiff 图	composition	hydrochemistry	hydrochemistry	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
durov-diagram	Durov diagram	Durov 图	composition	hydrochemistry	hydrochemistry	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
gibbs-diagram	Gibbs diagram	Gibbs 图	relationship	hydrochemistry	hydrochemistry	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
rank-abundance	rank-abundance curve	等级—丰度曲线	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
species-abundance-distribution	species abundance distribution	物种丰度分布图	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
species-accumulation	species accumulation curve	物种累积曲线	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
rarefaction-curve	rarefaction curve	稀释曲线	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
coverage-rarefaction	coverage-based rarefaction	覆盖度稀释/外推图	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
alpha-diversity-plot	alpha diversity raw-data plot	α 多样性图	ecology	ecology-community	ecology	named-variant-validated	ggplot2;jsonlite;ragg	R-PHYLOSEQ
beta-dispersion-plot	beta dispersion plot	β 离散度图	ecology	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
permanova-effect-plot	PERMANOVA effect summary	PERMANOVA 效应汇总图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
envfit-ordination	ordination with environmental vectors	环境向量排序图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
fourth-corner-heatmap	fourth-corner heatmap	第四角热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
co-inertia-plot	co-inertia plot	协惯量分析图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
procrustes-plot	Procrustes plot	Procrustes 配置比较图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
microbiome-composition	microbiome composition plot	微生物组组成图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-MICROVIZ
prevalence-abundance	prevalence-abundance plot	出现率—丰度图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-PHYLOSEQ
taxonomic-tree-bar	taxonomic tree with abundance bars	分类树—丰度条组合图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-GGTREE
differential-abundance-effect	differential abundance effect plot	差异丰度效应图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
ma-plot	MA plot	MA 图	omics	omics	omics	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
volcano-plot	volcano plot	火山图	omics	omics	omics	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
manhattan-plot	Manhattan plot	曼哈顿图	omics	omics	omics	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
miami-plot	Miami plot	迈阿密图	omics	omics	omics	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
regional-association	regional association plot	区域关联图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
karyogram	karyogram	核型图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
circos-plot	Circos plot	Circos 环形基因组图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
genome-track	genome track plot	基因组轨道图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
sashimi-plot	Sashimi plot	Sashimi 剪接图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
sequence-logo	sequence logo	序列标识图	omics	sequence-logo	sequence-logo	named-variant-validated	ggplot2;jsonlite;ragg	P-GGSEQLOGO
mutation-lollipop	mutation lollipop plot	突变棒棒糖图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
copy-number-segment	copy-number segment plot	拷贝数分段图	omics	genomic	genomic	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
fishplot	fish plot	鱼图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
muller-plot	Muller plot	Muller 演化图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
enrichment-dotplot	enrichment dot plot	富集点图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
enrichment-map	enrichment map	富集网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
cnetplot	category-gene network	类别—基因网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
gsea-running-score	GSEA running-score plot	GSEA 运行富集得分图	omics	omics	omics	named-variant-validated	ggplot2;jsonlite;ragg	R-BIOC
hydrograph	hydrograph	流量过程线	hydrology	hydrology	hydrology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
hyetograph	hyetograph	降雨过程图	hydrology	hydrology	hydrology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
hydrograph-hyetograph	aligned hydrograph and hyetograph	雨量—流量对齐面板	hydrology	hydrology	hydrology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
flow-duration-curve	flow duration curve	流量历时曲线	hydrology	hydrology	hydrology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
rating-curve	rating curve	水位—流量关系曲线	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
double-mass-curve	double mass curve	双累积曲线	hydrology	hydrology	hydrology	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
hysteresis-loop	hysteresis loop	迟滞环图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
wind-rose	wind rose	风向玫瑰图	polar	wind	wind	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
pollution-rose	pollution rose	污染玫瑰图	polar	wind	wind	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
polar-annulus	polar annulus plot	极坐标环带图	polar	wind	wind	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
taylor-diagram	Taylor diagram	泰勒图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
target-diagram	target diagram	目标图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
walter-lieth	Walter-Lieth climate diagram	Walter–Lieth 气候图	temporal	climate	climate	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
spectral-signature	spectral signature plot	光谱曲线图	remote-sensing	spectral	spectral	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
derivative-spectrum	derivative spectrum	导数光谱图	remote-sensing	spectral	spectral	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-CHEMPHYS
hyperspectral-cube	hyperspectral data cube	高光谱数据立方体	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
spectral-coefficient-plot	spectral coefficient plot	光谱系数图	model-diagnostic	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-CHEMPHYS
observed-predicted	observed versus predicted plot	观测—预测图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
residual-fitted	residuals versus fitted	残差—拟合值图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
scale-location	scale-location plot	尺度—位置图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
leverage-plot	residual leverage plot	残差—杠杆值图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
cooks-distance	Cook's distance plot	Cook 距离图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
roc-curve	ROC curve	ROC 曲线	model-diagnostic	classification	classification	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
precision-recall	precision-recall curve	精确率—召回率曲线	model-diagnostic	classification	classification	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
calibration-plot	calibration plot	校准图	model-diagnostic	classification	classification	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
decision-curve	decision curve analysis	决策曲线图	model-diagnostic	classification	classification	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
lift-gain	lift/gain chart	提升/增益图	model-diagnostic	classification	classification	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
pdp-plot	partial dependence plot	部分依赖图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
ice-plot	individual conditional expectation	个体条件期望图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
ale-plot	accumulated local effects	累积局部效应图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
variable-importance	variable importance plot	变量重要性图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
shap-beeswarm	SHAP beeswarm plot	SHAP 蜂群图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	P-DSM-UNCERTAINTY-2024
shap-dependence	SHAP dependence plot	SHAP 依赖图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	P-DSM-UNCERTAINTY-2024
shap-waterfall	SHAP waterfall plot	SHAP 瀑布图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	P-DSM-UNCERTAINTY-2024
posterior-predictive-check	posterior predictive check	后验预测检验图	model-diagnostic	mcmc	mcmc-diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-GGDIST
trace-plot	MCMC trace plot	MCMC 轨迹图	model-diagnostic	mcmc	mcmc-diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
rank-histogram	MCMC rank histogram	MCMC 秩直方图	model-diagnostic	mcmc	mcmc-diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
bland-altman	Bland-Altman plot	Bland–Altman 一致性图	model-diagnostic	diagnostic	diagnostic	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
nomogram	nomogram	列线图	model-interpretation	interpretation	interpretation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
sem-path	SEM path diagram	结构方程路径图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-GRAPHICALMODELS
causal-dag	causal DAG	因果有向无环图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-CAUSALINFERENCE
workflow-diagram	workflow diagram	工作流程图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
experimental-design-diagram	experimental design diagram	试验设计图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-AGRI
conceptual-model	conceptual model diagram	概念模型图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	P-JAMBOR-2025
consort-flow	study flow diagram	研究流程图	schematic	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
image-montage	image montage	影像拼版图	image	image	image	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
multichannel-overlay	multichannel image overlay	多通道叠加图	image	image	image	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
segmentation-overlay	segmentation overlay	分割叠加图	image	image	image	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
kymograph	kymograph	时空线扫描图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
orthogonal-slices	orthogonal slice view	正交切片图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
maximum-intensity-projection	maximum intensity projection	最大强度投影图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	P-IMAGE-2024
isosurface	isosurface plot	等值面图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
surface-3d	3D surface plot	三维曲面图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
point-cloud-3d	3D point cloud	三维点云图	image-volume	image	image-volume	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
mantel-correlogram	Mantel correlogram with matrix links	Mantel 相关矩阵—连线复合图	matrix	matrix-links	mantel-composite	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN;R-GGPLOT
