journal_name,registry_groups,soil_topic_scope,language_or_region,publisher,official_author_url,source_status,source_accessed_at,notes
Environment International,General and interdisciplinary discovery,土壤污染暴露、健康风险和全球环境问题,国际/英文,Elsevier,https://www.sciencedirect.com/journal/environment-international/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Chemistry Letters,General and interdisciplinary discovery,土壤污染化学、修复材料和前沿综述,国际/英文,Springer Nature,https://link.springer.com/journal/10311/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Earth Sciences,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Geochemistry and Health,General and interdisciplinary discovery,土壤元素地球化学、暴露与健康风险,国际/英文,Springer Nature,https://link.springer.com/journal/10653/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Microbiology,General and interdisciplinary discovery,土壤微生物生态、功能和环境过程,国际/英文,Wiley,https://onlinelibrary.wiley.com/page/journal/14622920/homepage/forauthors.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Pollution,General and interdisciplinary discovery,土壤污染效应、生态风险和修复,国际/英文,Elsevier,https://www.sciencedirect.com/journal/environmental-pollution/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Research,General and interdisciplinary discovery,土壤污染、暴露、生态与健康交叉,国际/英文,Elsevier,https://www.sciencedirect.com/journal/environmental-research/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Research Letters,General and interdisciplinary discovery,土壤碳、土地利用、全球变化与政策相关研究,国际/英文,IOP Publishing,https://publishingsupport.iopscience.iop.org/journals/environmental-research-letters/about-environmental-research-letters/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Science & Ecotechnology,General and interdisciplinary discovery,土壤污染、修复、环境健康与新技术,国际/英文,Elsevier / Chinese Society for Environmental Sciences,https://www.sciencedirect.com/journal/environmental-science-and-ecotechnology/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Science & Technology,General and interdisciplinary discovery,土壤污染化学、界面过程、修复机制和环境风险,国际/英文,American Chemical Society,https://publish.acs.org/publish/author_guidelines?coden=esthag,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Science & Technology Letters,General and interdisciplinary discovery,重要而简洁的土壤污染与环境化学发现,国际/英文,American Chemical Society,https://publish.acs.org/publish/author_guidelines?coden=estlcu,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Environmental Technology and Innovation,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
ES Food and Agroforestry,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Eurasian Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Springer Nature,https://link.springer.com/journal/11475/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
European Journal of Agronomy,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
European Journal of Soil Biology,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/european-journal-of-soil-biology/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
European Journal of Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Wiley,https://onlinelibrary.wiley.com/page/journal/13652389/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Farming System,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Field Crops Research,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Forest Ecology and Management,General and interdisciplinary discovery,森林土壤、凋落物、经营和恢复,国际/英文,Elsevier,https://www.sciencedirect.com/journal/forest-ecology-and-management/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Frontiers in Agronomy,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Frontiers in Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Frontiers,https://www.frontiersin.org/journals/soil-science/for-authors/author-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Functional Ecology,General and interdisciplinary discovery,根际、土壤生物、植物—土壤反馈和功能性状,国际/英文,British Ecological Society / Wiley,https://besjournals.onlinelibrary.wiley.com/hub/journal/13652435/author-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Geoderma,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/geoderma/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Geoderma Regional,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/geoderma-regional/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Geotechnical and Geological Engineering,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Global Biogeochemical Cycles,General and interdisciplinary discovery,土壤碳氮磷循环、陆地—大气交换、全球模型,国际/英文,AGU / Wiley,https://www.agu.org/Publish-with-AGU/Publish/Author-Resources,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Global Change Biology,General and interdisciplinary discovery,土壤碳氮、温室气体、全球变化实验与综合分析,国际/英文,Wiley,https://onlinelibrary.wiley.com/page/journal/13652486/homepage/forauthors.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Global Ecology and Biogeography,General and interdisciplinary discovery,全球土壤生物多样性、空间格局和综合分析,国际/英文,Wiley,https://onlinelibrary.wiley.com/page/journal/14668238/homepage/forauthors.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Hydrology and Earth System Sciences,General and interdisciplinary discovery,土壤水文、陆面过程、模型和尺度扩展,国际/英文,Copernicus Publications,https://www.hydrology-and-earth-system-sciences.net/submission.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
IEEE Transactions on Geoscience and Remote Sensing,General and interdisciplinary discovery,土壤水分、盐分、粗糙度和遥感算法,国际/英文,IEEE,https://journals.ieeeauthorcenter.ieee.org/your-role-in-article-production/ieee-editorial-style-manual/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Agrophysics,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Journal of Applied Earth Observation and Geoinformation,General and interdisciplinary discovery,土壤属性制图、土壤水分和农业地球观测,国际/英文,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-applied-earth-observation-and-geoinformation/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Journal of Environmental Analytical Chemistry,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Journal of Geomechanics,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Journal of Geotechnical Engineering,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
International Soil and Water Conservation Research,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/international-soil-and-water-conservation-research/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Irrigation and Drainage,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Irrigation Science,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
ISPRS Journal of Photogrammetry and Remote Sensing,General and interdisciplinary discovery,数字土壤制图、土壤属性反演和高水平方法创新,国际/英文,Elsevier,https://www.sciencedirect.com/journal/isprs-journal-of-photogrammetry-and-remote-sensing/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Applied Ecology,General and interdisciplinary discovery,土壤生态管理、恢复和政策相关研究,国际/英文,British Ecological Society / Wiley,https://besjournals.onlinelibrary.wiley.com/hub/journal/13652664/author-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Cleaner Production,General and interdisciplinary discovery,肥料、土壤修复材料、农业循环和生命周期评价,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Contaminant Hydrology,General and interdisciplinary discovery,土壤—地下水污染物迁移和反应过程,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-contaminant-hydrology/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Crop Improvement,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Environmental Chemical Engineering,General and interdisciplinary discovery,土壤修复材料、吸附催化和污染控制,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-environmental-chemical-engineering/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Environmental Management,General and interdisciplinary discovery,污染土壤治理、土地管理和环境评价,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-environmental-management/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Environmental Quality,General and interdisciplinary discovery,土壤—水环境、养分损失、污染和管理,国际/英文,ACSESS / Wiley,https://acsess.onlinelibrary.wiley.com/hub/journal/15372537/author-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Geophysical Research: Biogeosciences,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Hazardous Materials,General and interdisciplinary discovery,重金属、有机污染物、微塑料和土壤修复机制,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-hazardous-materials/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Hydrology,General and interdisciplinary discovery,土壤水分、渗流、坡面水文和土壤—地下水过程,国际/英文,Elsevier,https://www.sciencedirect.com/journal/journal-of-hydrology/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Plant Nutrition and Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Wiley,https://onlinelibrary.wiley.com/page/journal/15222624/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Soil and Water Conservation,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Soil and Water Conservation Society,https://www.jswconline.org/content/instructions-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal of Soil Science and Plant Nutrition,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Springer Nature,https://link.springer.com/journal/42729/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Journal Of Soils And Sediments,WoS Soil Science discovery,Soil Science category,International / English,Springer Nature,https://link.springer.com/journal/11368/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Land Degradation and Development,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Wiley,https://onlinelibrary.wiley.com/page/journal/1099145x/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Land Use Policy,General and interdisciplinary discovery,耕地保护、土地退化、土壤治理和政策评估,国际/英文,Elsevier,https://www.sciencedirect.com/journal/land-use-policy/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Landscape Ecology,General and interdisciplinary discovery,土地利用变化、土壤空间异质性和景观过程,国际/英文,Springer Nature,https://link.springer.com/journal/10980/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Microbes and Environments,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Microbial Ecology,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Microbiome,General and interdisciplinary discovery,土壤微生物组、多组学与宿主/环境互作,国际/英文,BMC / Springer Nature,https://microbiomejournal.biomedcentral.com/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Mires and Peat,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Molecular Plant Pathology,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
mSystems,General and interdisciplinary discovery,土壤微生物系统、生物信息学和机制研究,国际/英文,American Society for Microbiology,https://journals.asm.org/journal/msystems/author-instructions,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature,General and interdisciplinary discovery,具有全球或学科范式影响的土壤过程、土壤碳与气候、重大方法突破,国际/英文,Nature Portfolio,https://www.nature.com/nature/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature Communications,General and interdisciplinary discovery,机制完整、影响较广的土壤生态、碳氮循环、污染和方法研究,国际/英文,Nature Portfolio,https://www.nature.com/ncomms/submit/how-to-submit,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature Food,General and interdisciplinary discovery,土壤健康、养分管理、农业系统与粮食安全,国际/英文,Nature Portfolio,https://www.nature.com/natfood/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature Geoscience,General and interdisciplinary discovery,关键带、风化、土壤碳、地球表层过程,国际/英文,Nature Portfolio,https://www.nature.com/ngeo/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature Microbiology,General and interdisciplinary discovery,具有广泛影响的土壤微生物机制研究,国际/英文,Nature Portfolio,https://www.nature.com/nmicrobiol/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nature Sustainability,General and interdisciplinary discovery,土壤健康、农业可持续性、土地退化和政策影响,国际/英文,Nature Portfolio,https://www.nature.com/natsustain/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Nutrient Cycling in Agroecosystems,Scopus Soil Science discovery | WoS Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,Springer Nature,https://link.springer.com/journal/10705/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
One Earth,General and interdisciplinary discovery,土壤退化、土地管理、气候和可持续发展,国际/英文,Cell Press,https://www.cell.com/one-earth/authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Pedobiologia,Scopus Soil Science discovery | WoS Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,Elsevier,https://www.sciencedirect.com/journal/pedobiologia/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Pedosphere,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier / ISSAS,https://www.sciencedirect.com/journal/pedosphere/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Plant and Soil,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Springer Nature,https://link.springer.com/journal/11104/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Plant Protection Science,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
"Plant, Soil and Environment",Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Proceedings of the Institution of Civil Engineers: Ground Improvement,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Proceedings of the National Academy of Sciences (PNAS),General and interdisciplinary discovery,基础机制或全球尺度土壤生态与生物地球化学,国际/英文,National Academy of Sciences,https://www.pnas.org/author-center/submitting-your-manuscript,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Remote Sensing of Environment,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
"Resources, Conservation & Recycling",General and interdisciplinary discovery,有机废弃物土壤利用、养分循环和资源化,国际/英文,Elsevier,https://www.sciencedirect.com/journal/resources-conservation-and-recycling/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Restoration Ecology,General and interdisciplinary discovery,退化土壤恢复、矿山复垦、生态工程,国际/英文,Society for Ecological Restoration / Wiley,https://onlinelibrary.wiley.com/page/journal/1526100x/homepage/forauthors.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Revista Brasileira de Ciencia do Solo,Scopus Soil Science discovery | WoS Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,Brazilian Soil Science Society,https://www.rbcsjournal.org/instructions-to-authors/,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Rhizosphere,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/rhizosphere/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Rice,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Sains Tanah,WoS Soil Science discovery,Soil Science category,International / English,Universitas Sebelas Maret,https://jurnal.uns.ac.id/tanah/about/submissions,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Science,General and interdisciplinary discovery,具有广泛科学影响的土壤—气候—生物地球化学研究,国际/英文,AAAS,https://www.science.org/content/page/instructions-preparing-initial-manuscript,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Science Advances,General and interdisciplinary discovery,跨学科土壤过程、全球变化、土壤健康与新技术,国际/英文,AAAS,https://www.science.org/content/page/science-advances-information-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Science of The Total Environment,General and interdisciplinary discovery,土壤污染、土壤生态、全球变化和多介质过程,国际/英文,Elsevier,https://www.sciencedirect.com/journal/science-of-the-total-environment/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Scientific Data,General and interdisciplinary discovery,土壤调查、土壤组学、遥感与长期观测数据集,国际/英文,Nature Portfolio,https://www.nature.com/sdata/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
SOIL,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Copernicus Publications,https://www.soil-journal.net/submission.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil & Environment,WoS Soil Science discovery,Soil Science category,International / English,University of Agriculture Faisalabad,https://www.se.org.pk/,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil and Environmental Health,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil and Sediment Contamination,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil and Tillage Research,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/soil-and-tillage-research/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil and Water Research,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Czech Academy of Agricultural Sciences,https://swr.agriculturejournals.cz/artkey/inf-990000-0100_Instructions-to-Authors.php,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Biology and Biochemistry,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/soil-biology-and-biochemistry/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Dynamics and Earthquake Engineering,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Ecology Letters,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Springer Nature,https://link.springer.com/journal/42832/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Research,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,CSIRO Publishing,https://www.publish.csiro.au/sr/forauthors/AuthorInstructions,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Science and Plant Nutrition,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tssp20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Science Annual,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Polish Society of Soil Science,"https://soilscienceannual.com/For-authors,2105.html",已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Science Society of America Journal,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,ACSESS / Wiley,https://acsess.onlinelibrary.wiley.com/hub/journal/14350661/author-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Security,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Systems,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,MDPI,https://www.mdpi.com/journal/soilsystems/instructions,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Soil Use and Management,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Wiley,https://onlinelibrary.wiley.com/page/journal/14752743/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Solid Earth,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Spanish Journal of Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Frontiers Partnerships,https://www.frontierspartnerships.org/journals/spanish-journal-of-soil-science/for-authors/author-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Subterranean Biology,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Sustainable Production and Consumption,General and interdisciplinary discovery,肥料、土壤管理、农业资源循环和生命周期评价,国际/英文,Elsevier,https://www.sciencedirect.com/journal/sustainable-production-and-consumption/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
